sector_key,industry,ar_days_benchmark,ar_days_stress_benchmark,ar_days_severe_benchmark,ar_stress_uplift_days,ar_severe_uplift_days,ap_days_benchmark,ap_days_stress_benchmark,ap_days_severe_benchmark,ap_stress_uplift_days,ap_severe_uplift_days,ptrs_paid_on_time_pct_latest,inventory_days_benchmark,inventory_days_yoy_change,inventory_stock_build_risk,cash_conversion_cycle_benchmark_days,cash_conversion_cycle_stress_days,cash_conversion_cycle_uplift_days,ar_collection_score,receivables_realisation_score,ap_supplier_stretch_score,inventory_liquidity_score,inventory_stock_build_score,cash_conversion_cycle_score,working_capital_scorecard_overlay_score,working_capital_scorecard_overlay_band,working_capital_pd_overlay_score,working_capital_pd_overlay_band,working_capital_lgd_overlay_score,working_capital_lgd_overlay_band,scorecard_primary_driver,pd_primary_driver,lgd_primary_driver,metric_origin
manufacturing,Manufacturing,33.7,48.0,67.0,14.3,33.3,33.7,48.0,67.0,14.3,33.3,0.621,52.7,-3.7,Moderate,52.7,67.0,14.3,3.33,3.67,3.0,5.0,3.0,5.0,4.08,High,3.58,Elevated,3.89,Elevated,Inventory liquidity,Cash conversion cycle,Inventory liquidity,derived
wholesale trade,Wholesale Trade,29.3,41.0,65.0,11.7,35.7,29.3,41.0,65.0,11.7,35.7,0.654,46.1,-1.5,Moderate,46.1,57.8,11.7,3.0,3.67,3.0,4.0,3.0,5.0,3.75,Elevated,3.47,Elevated,3.56,Elevated,Cash conversion cycle,Cash conversion cycle,Inventory liquidity,derived
retail trade,Retail Trade,26.2,37.0,57.0,10.8,30.8,26.2,37.0,57.0,10.8,30.8,0.689,20.8,3.7,Moderate,20.8,31.6,10.8,2.67,3.0,2.67,2.0,3.0,2.0,2.75,Medium,2.67,Medium,2.56,Medium,Collection risk,Collection risk,Collection risk,derived
transport postal and warehousing,"Transport, Postal And Warehousing",27.3,38.0,59.0,10.7,31.7,27.3,38.0,59.0,10.7,31.7,0.66,6.0,0.0,Low,6.0,16.7,10.7,2.67,3.33,2.67,1.0,1.0,1.0,2.5,Medium,2.42,Medium,2.33,Medium,Receivables realisation,Receivables realisation,Receivables realisation,derived
construction,Construction,28.1,39.0,61.0,10.9,32.9,28.1,39.0,61.0,10.9,32.9,0.671,6.1,0.0,Low,6.1,17.0,10.9,2.67,3.33,2.67,1.0,1.0,1.0,2.42,Medium,2.42,Medium,2.22,Medium,Receivables realisation,Receivables realisation,Receivables realisation,derived
health care and social assistance,Health Care and Social Assistance,23.4,33.0,52.0,9.6,28.6,23.4,33.0,52.0,9.6,28.6,0.734,6.0,0.0,Low,6.0,15.6,9.6,2.33,3.0,2.33,1.0,1.0,1.0,2.17,Medium,2.08,Low,2.0,Low,Receivables realisation,Receivables realisation,Collection risk,derived
agriculture forestry and fishing,"Agriculture, Forestry And Fishing",23.4,35.0,49.0,11.6,25.6,23.4,35.0,49.0,11.6,25.6,0.734,31.7,,Low,31.7,43.3,11.6,2.33,3.0,2.33,3.0,1.0,3.0,2.67,Medium,2.58,Medium,2.44,Medium,Inventory liquidity,Inventory liquidity,Inventory liquidity,derived
accommodation and food services,Accommodation And Food Services,25.4,35.0,54.0,9.6,28.6,25.4,35.0,54.0,9.6,28.6,0.61,6.1,0.0,Low,6.1,15.7,9.6,2.33,3.0,2.33,1.0,1.0,1.0,2.08,Low,2.08,Low,1.89,Low,Receivables realisation,Receivables realisation,Collection risk,derived
professional scientific and technical services,"Professional, Scientific And Technical Services",27.2,38.0,58.0,10.8,30.8,27.2,38.0,58.0,10.8,30.8,0.662,6.0,0.0,Low,6.0,16.8,10.8,2.67,3.33,2.67,1.0,1.0,1.0,2.42,Medium,2.33,Medium,1.89,Low,Receivables realisation,Receivables realisation,Collection risk,derived
