scenario,ead_weighted_lgd_base,ead_weighted_lgd_downturn,ead_weighted_lgd_final
base,0.8599883778079271,0.9360926257589308,0.9499248435912075
ageing_+5pp,0.8646336068286102,0.9426066849109116,0.9553329347798767
dilution_+3pp,0.8632473654338132,0.9407962107045673,0.9538083719253881
eligibility_-5pp,0.8599883778079271,0.9372577509670144,0.9508239539517038
slow_collections_20pct,0.8649032401174165,0.9421273275096684,0.9547241902909513
combined_stress,0.8726150750144127,0.9529166523533839,0.9635510763119212
