risk_rank,product,ead_weighted_lgd_downturn,downturn_sensitivity_pp,mean_recovery_time_months,composite_risk_score,rank_lgd_level,rank_downturn_sensitivity,rank_recovery_time
1.0,Land / Subdivision,0.7799082232460676,36.356300343273745,30.657399070448545,2.0,3.0,2.0,1.0
2.0,Mezzanine / 2nd Mortgage,0.8647550606761963,50.345005520026085,14.335883210184196,2.3333333333333335,1.0,1.0,5.0
2.0,Commercial Cashflow,0.823173065865116,20.907851707755164,24.593333333333334,2.3333333333333335,2.0,3.0,2.0
3.0,CRE Investment,0.37652504213217125,5.054360120417195,17.799071253889466,5.0,5.0,7.0,3.0
3.0,Development Finance,0.3353619979427149,13.378874956554531,15.54,5.0,6.0,5.0,4.0
4.0,Bridging Loan,0.6783728021000202,12.8394336760141,11.769652410735912,5.333333333333333,4.0,6.0,6.0
5.0,Residual Stock,0.21008486034377016,17.986825764065433,11.266962055731282,6.0,7.0,4.0,7.0
6.0,Residential Mortgage,0.09082944779065527,1.7891715988179153,8.828,8.0,8.0,8.0,8.0
