scenario,ead_weighted_lgd_base,ead_weighted_lgd_downturn,ead_weighted_lgd_final,mean_time_to_recovery_months,mean_recovery_time_months
base,0.3259814409279993,0.37652504213217125,0.4040490497018537,20.626444223425427,20.626444223425427
cap_rate_+100bps,0.3259814409279993,0.3833706523916593,0.41089465996134167,20.679841437187097,20.679841437187097
vacancy_+5pp,0.33398144092799936,0.3931392190794301,0.42126322664911237,20.626444223425427,20.626444223425427
tenant_conc_+10pp,0.34098144092799937,0.3935867818691316,0.4211107894388139,20.626444223425427,20.626444223425427
combined_stress,0.3551814409279993,0.4358443980616619,0.46420840563134425,20.733238650948767,20.733238650948767
