scenario,ead_weighted_lgd_base,ead_weighted_lgd_downturn,ead_weighted_lgd_mezz,ead_weighted_lgd_senior,ead_weighted_lgd_final,ead_weighted_ranking_gap,mean_time_to_recovery_months,mean_residual_coverage,mean_recovery_time_months
base,0.3613050054759355,0.3613050054759355,0.3613050054759355,0.1292158018894463,0.3875978900829215,0.23302563137301477,14.335883210184196,0.6699185375732132,14.335883210184196
value_stress,0.6248103414504923,0.6248103414504923,0.6248103414504923,0.17374608489260301,0.6426383321772603,0.4560090692291907,15.681134187305155,0.41228121731690376,15.681134187305155
liquidity_delay_stress,0.720085147094009,0.720085147094009,0.720085147094009,0.20514995448901654,0.7361615291843248,0.5214193931672407,17.05276263456574,0.31295717344616114,17.05276263456574
combined_downturn,0.8647550606761963,0.8647550606761963,0.8647550606761963,0.2687785169194513,0.8741656858068286,0.6055603913349502,18.846430604060348,0.15300888887752037,18.846430604060348
