framework_segment,years_observed,mean_weighted_lgd_final,std_weighted_lgd_final,min_weighted_lgd_final,max_weighted_lgd_final,range_weighted_lgd_final
Asset / Equipment Finance,6,0.7509844158254108,0.02641623917474338,0.7189833712564149,0.7888068954903289,0.06982352423391402
Overdraft / Revolver,7,0.7123080297652049,0.058088129626233734,0.6328142944103019,0.7917531145586723,0.15893882014837035
Receivables / Invoice Finance,7,0.9525849589238291,0.03421497342610886,0.881451768534399,0.9894888440873807,0.1080370755529817
SME / Middle-Market Term Lending,7,0.7404880594795505,0.07218479262273168,0.6040281600942287,0.8116807106488585,0.20765255055462983
Trade / Contingent Facilities (Proxy),7,0.8674312764698724,0.09529006611990744,0.7326951478427743,0.9628455012066921,0.23015035336391776
