wc_sub_type,loan_count,total_ead,mean_drawn_pct_at_default,ead_weighted_ccf_current,ead_weighted_ccf_stress,ead_weighted_uplift_pct,ead_weighted_lgd_final
Unsecured WC - Weaker Quality,9.0,55701094.589999996,0.8268472147657566,0.7322812946542314,0.94418440654683,0.036827281276735874,1.0
Committed Working-Capital Line,49.0,325249180.55,0.7281126461311898,0.6193282271596333,0.7971831067512738,0.05121430452302794,0.8713596158042904
Other Revolver / Overdraft,140.0,934230194.2,0.7076872462232083,0.7516632360623995,0.8953511571750984,0.044482307428762594,0.7840469354364998
Overdraft with Transactional Evidence,5.0,13048947.620000001,0.7615584903782362,0.8757366799497506,0.944696721280961,0.011736305299997779,0.7297193161181557
